Epoch 191 | Train loss: 0.0412 | Test loss: 0.0665
Epoch 192 | Train loss: 0.0426 | Test loss: 0.0686
Epoch 193 | Train loss: 0.0426 | Test loss: 0.0699
Epoch 194 | Train loss: 0.0421 | Test loss: 0.0626
Epoch 195 | Train loss: 0.0422 | Test loss: 0.0672
Epoch 196 | Train loss: 0.0409 | Test loss: 0.0662
Epoch 197 | Train loss: 0.0406 | Test loss: 0.0649
Epoch 198 | Train loss: 0.0403 | Test loss: 0.0607
Epoch 199 | Train loss: 0.0407 | Test loss: 0.0647
Epoch 200 | Train loss: 0.0404 | Test loss: 0.0623                                                                                                             
Epoch 201 | Train loss: 0.0417 | Test loss: 0.0636
Epoch 202 | Train loss: 0.0405 | Test loss: 0.0647
Epoch 203 | Train loss: 0.0399 | Test loss: 0.0621
Epoch 204 | Train loss: 0.0398 | Test loss: 0.0686
Epoch 205 | Train loss: 0.0398 | Test loss: 0.0640
Epoch 207 | Train loss: 0.0393 | Test loss: 0.0648
Epoch 208 | Train loss: 0.0395 | Test loss: 0.0636
Epoch 209 | Train loss: 0.0398 | Test loss: 0.0637


Training Phase:  30%|██████████████████████████████▊                                                                       
Training Phase:  30%|██████████████████████████████▉                                                                       
Training Phase:  30%|███████████████████████████████                                                                       
Training Phase:  31%|███████████████████████████████▏                                                                      
Training Phase:  31%|███████████████████████████████▎                                                                      
Training Phase:  31%|███████████████████████████████▎                                                                      
Training Phase:  31%|███████████████████████████████▍                                                                      
Training Phase:  31%|███████████████████████████████▌                                                                      
Training Phase:  31%|███████████████████████████████▋                                                                      
Training Phase:  31%|███████████████████████████████▊                                                                      
Training Phase:  31%|███████████████████████████████▊                                                                      
Training Phase:  31%|███████████████████████████████▉                                                                      
Training Phase:  31%|████████████████████████████████                                                                      
Training Phase:  32%|████████████████████████████████▏                                                                     
Training Phase:  32%|████████████████████████████████▎                                                                     
Training Phase:  32%|████████████████████████████████▍                                                                     
Training Phase:  32%|████████████████████████████████▍                                                                     
Training Phase:  32%|████████████████████████████████▌                                                                     
Training Phase:  32%|████████████████████████████████▋                                                                     
Training Phase:  32%|████████████████████████████████▊                                                                     
Training Phase:  32%|████████████████████████████████▉                                                                     
Training Phase:  32%|████████████████████████████████▉                                                                     
Training Phase:  32%|█████████████████████████████████                                                                     
