Epoch 147 | Train loss: 0.0255 | Test loss: 0.0344
Epoch 148 | Train loss: 0.0255 | Test loss: 0.0344
Epoch 149 | Train loss: 0.0243 | Test loss: 0.0344
Epoch 150 | Train loss: 0.0244 | Test loss: 0.0336
Epoch 151 | Train loss: 0.0240 | Test loss: 0.0340
Epoch 152 | Train loss: 0.0239 | Test loss: 0.0344
Epoch 153 | Train loss: 0.0237 | Test loss: 0.0335
Epoch 154 | Train loss: 0.0236 | Test loss: 0.0329
Epoch 155 | Train loss: 0.0234 | Test loss: 0.0334
Epoch 156 | Train loss: 0.0232 | Test loss: 0.0330
Epoch 157 | Train loss: 0.0232 | Test loss: 0.0328
Epoch 158 | Train loss: 0.0232 | Test loss: 0.0333
Epoch 159 | Train loss: 0.0235 | Test loss: 0.0337
Epoch 160 | Train loss: 0.0236 | Test loss: 0.0337
Epoch 161 | Train loss: 0.0231 | Test loss: 0.0327
Epoch 162 | Train loss: 0.0229 | Test loss: 0.0331
Epoch 163 | Train loss: 0.0231 | Test loss: 0.0327
Epoch 164 | Train loss: 0.0229 | Test loss: 0.0334
Epoch 165 | Train loss: 0.0231 | Test loss: 0.0331
Epoch 166 | Train loss: 0.0229 | Test loss: 0.0333
Epoch 167 | Train loss: 0.0226 | Test loss: 0.0328
Epoch 168 | Train loss: 0.0225 | Test loss: 0.0322
Epoch 169 | Train loss: 0.0227 | Test loss: 0.0329
Epoch 170 | Train loss: 0.0226 | Test loss: 0.0329
Epoch 171 | Train loss: 0.0223 | Test loss: 0.0324
Epoch 172 | Train loss: 0.0221 | Test loss: 0.0330
Epoch 173 | Train loss: 0.0224 | Test loss: 0.0323
Epoch 174 | Train loss: 0.0227 | Test loss: 0.0329
Epoch 175 | Train loss: 0.0230 | Test loss: 0.0329
Epoch 176 | Train loss: 0.0225 | Test loss: 0.0333
Epoch 177 | Train loss: 0.0230 | Test loss: 0.0328
Epoch 178 | Train loss: 0.0225 | Test loss: 0.0326
Epoch 179 | Train loss: 0.0223 | Test loss: 0.0332
Epoch 180 | Train loss: 0.0220 | Test loss: 0.0324
Epoch 181 | Train loss: 0.0219 | Test loss: 0.0333
Epoch 182 | Train loss: 0.0221 | Test loss: 0.0323
Epoch 183 | Train loss: 0.0218 | Test loss: 0.0322
Epoch 184 | Train loss: 0.0218 | Test loss: 0.0323
Epoch 185 | Train loss: 0.0252 | Test loss: 0.0325
Epoch 186 | Train loss: 0.0217 | Test loss: 0.0314
Epoch 187 | Train loss: 0.0215 | Test loss: 0.0319
Epoch 188 | Train loss: 0.0213 | Test loss: 0.0315
Epoch 189 | Train loss: 0.0217 | Test loss: 0.0324
Epoch 190 | Train loss: 0.0215 | Test loss: 0.0311
Epoch 191 | Train loss: 0.0213 | Test loss: 0.0319
Epoch 192 | Train loss: 0.0213 | Test loss: 0.0315
Epoch 193 | Train loss: 0.0211 | Test loss: 0.0319
Epoch 194 | Train loss: 0.0210 | Test loss: 0.0321
Epoch 195 | Train loss: 0.0211 | Test loss: 0.0317
Epoch 196 | Train loss: 0.0209 | Test loss: 0.0315
Epoch 197 | Train loss: 0.0210 | Test loss: 0.0315
Epoch 198 | Train loss: 0.0209 | Test loss: 0.0319
Epoch 199 | Train loss: 0.0209 | Test loss: 0.0311
Epoch 200 | Train loss: 0.0211 | Test loss: 0.0314
Epoch 201 | Train loss: 0.0208 | Test loss: 0.0321
Epoch 202 | Train loss: 0.0209 | Test loss: 0.0318
Epoch 203 | Train loss: 0.0211 | Test loss: 0.0314
Epoch 204 | Train loss: 0.0214 | Test loss: 0.0312
Epoch 205 | Train loss: 0.0207 | Test loss: 0.0311
Epoch 206 | Train loss: 0.0203 | Test loss: 0.0310
Epoch 207 | Train loss: 0.0204 | Test loss: 0.0319
Epoch 208 | Train loss: 0.0210 | Test loss: 0.0312
Epoch 209 | Train loss: 0.0212 | Test loss: 0.0326
Epoch 210 | Train loss: 0.0208 | Test loss: 0.0313
Epoch 211 | Train loss: 0.0204 | Test loss: 0.0314
Epoch 212 | Train loss: 0.0203 | Test loss: 0.0313
Epoch 213 | Train loss: 0.0205 | Test loss: 0.0312
Epoch 214 | Train loss: 0.0204 | Test loss: 0.0312
Epoch 215 | Train loss: 0.0203 | Test loss: 0.0312
Epoch 216 | Train loss: 0.0202 | Test loss: 0.0312
Epoch 217 | Train loss: 0.0205 | Test loss: 0.0318
Epoch 218 | Train loss: 0.0206 | Test loss: 0.0318
Epoch 219 | Train loss: 0.0207 | Test loss: 0.0319
Epoch 220 | Train loss: 0.0201 | Test loss: 0.0310
Epoch 221 | Train loss: 0.0198 | Test loss: 0.0314
Epoch 222 | Train loss: 0.0201 | Test loss: 0.0308
Epoch 223 | Train loss: 0.0201 | Test loss: 0.0322
Epoch 224 | Train loss: 0.0204 | Test loss: 0.0324
Epoch 225 | Train loss: 0.0202 | Test loss: 0.0314
Epoch 226 | Train loss: 0.0200 | Test loss: 0.0322
Epoch 227 | Train loss: 0.0198 | Test loss: 0.0308
Epoch 228 | Train loss: 0.0199 | Test loss: 0.0317
Epoch 229 | Train loss: 0.0199 | Test loss: 0.0314
Epoch 230 | Train loss: 0.0199 | Test loss: 0.0313
Epoch 231 | Train loss: 0.0195 | Test loss: 0.0310
Epoch 232 | Train loss: 0.0196 | Test loss: 0.0309
Epoch 233 | Train loss: 0.0198 | Test loss: 0.0313
Epoch 234 | Train loss: 0.0195 | Test loss: 0.0312
Epoch 235 | Train loss: 0.0195 | Test loss: 0.0313
Epoch 236 | Train loss: 0.0195 | Test loss: 0.0317
Epoch 237 | Train loss: 0.0197 | Test loss: 0.0308
Epoch 238 | Train loss: 0.0197 | Test loss: 0.0314
Epoch 239 | Train loss: 0.0201 | Test loss: 0.0327
Epoch 240 | Train loss: 0.0194 | Test loss: 0.0315
Epoch 241 | Train loss: 0.0197 | Test loss: 0.0307
Epoch 242 | Train loss: 0.0194 | Test loss: 0.0312
Epoch 243 | Train loss: 0.0196 | Test loss: 0.0311
Epoch 244 | Train loss: 0.0198 | Test loss: 0.0310
Epoch 245 | Train loss: 0.0194 | Test loss: 0.0309
Epoch 246 | Train loss: 0.0192 | Test loss: 0.0307
Epoch 247 | Train loss: 0.0190 | Test loss: 0.0309
Epoch 248 | Train loss: 0.0191 | Test loss: 0.0311
Epoch 249 | Train loss: 0.0188 | Test loss: 0.0312
Epoch 250 | Train loss: 0.0189 | Test loss: 0.0307
Epoch 251 | Train loss: 0.0190 | Test loss: 0.0319
Epoch 252 | Train loss: 0.0191 | Test loss: 0.0314
Epoch 253 | Train loss: 0.0192 | Test loss: 0.0316
Epoch 254 | Train loss: 0.0188 | Test loss: 0.0306
Epoch 255 | Train loss: 0.0186 | Test loss: 0.0311
Epoch 256 | Train loss: 0.0186 | Test loss: 0.0308
Epoch 257 | Train loss: 0.0185 | Test loss: 0.0303
Epoch 258 | Train loss: 0.0187 | Test loss: 0.0311
Epoch 259 | Train loss: 0.0186 | Test loss: 0.0309
Epoch 260 | Train loss: 0.0184 | Test loss: 0.0309
Epoch 261 | Train loss: 0.0185 | Test loss: 0.0309
Epoch 262 | Train loss: 0.0185 | Test loss: 0.0310
Epoch 263 | Train loss: 0.0184 | Test loss: 0.0307
Epoch 264 | Train loss: 0.0184 | Test loss: 0.0308
Epoch 265 | Train loss: 0.0181 | Test loss: 0.0302
Epoch 266 | Train loss: 0.0181 | Test loss: 0.0310
Epoch 267 | Train loss: 0.0182 | Test loss: 0.0305
Epoch 268 | Train loss: 0.0181 | Test loss: 0.0308
Epoch 269 | Train loss: 0.0182 | Test loss: 0.0309
Epoch 270 | Train loss: 0.0182 | Test loss: 0.0304
Epoch 271 | Train loss: 0.0180 | Test loss: 0.0309
Epoch 272 | Train loss: 0.0180 | Test loss: 0.0323
Epoch 273 | Train loss: 0.0181 | Test loss: 0.0317
Epoch 274 | Train loss: 0.0183 | Test loss: 0.0306
Epoch 275 | Train loss: 0.0180 | Test loss: 0.0306
Epoch 276 | Train loss: 0.0180 | Test loss: 0.0302
Epoch 277 | Train loss: 0.0183 | Test loss: 0.0304
Epoch 278 | Train loss: 0.0179 | Test loss: 0.0311
Epoch 279 | Train loss: 0.0191 | Test loss: 0.0305
Epoch 280 | Train loss: 0.0186 | Test loss: 0.0309
Epoch 281 | Train loss: 0.0181 | Test loss: 0.0298
Epoch 282 | Train loss: 0.0183 | Test loss: 0.0310
Epoch 283 | Train loss: 0.0185 | Test loss: 0.0306
Epoch 284 | Train loss: 0.0181 | Test loss: 0.0309
Epoch 285 | Train loss: 0.0181 | Test loss: 0.0309
Epoch 286 | Train loss: 0.0179 | Test loss: 0.0309
Epoch 287 | Train loss: 0.0180 | Test loss: 0.0306
Epoch 288 | Train loss: 0.0178 | Test loss: 0.0306
Epoch 289 | Train loss: 0.0177 | Test loss: 0.0310
Epoch 290 | Train loss: 0.0177 | Test loss: 0.0307
Epoch 291 | Train loss: 0.0178 | Test loss: 0.0309
Epoch 292 | Train loss: 0.0176 | Test loss: 0.0310
Epoch 293 | Train loss: 0.0179 | Test loss: 0.0311
Epoch 294 | Train loss: 0.0175 | Test loss: 0.0305
Epoch 295 | Train loss: 0.0178 | Test loss: 0.0304
Epoch 296 | Train loss: 0.0171 | Test loss: 0.0303
Epoch 297 | Train loss: 0.0175 | Test loss: 0.0311
Epoch 298 | Train loss: 0.0178 | Test loss: 0.0310
Epoch 299 | Train loss: 0.0177 | Test loss: 0.0309
Epoch 300 | Train loss: 0.0176 | Test loss: 0.0303
Epoch 301 | Train loss: 0.0176 | Test loss: 0.0306
Epoch 302 | Train loss: 0.0174 | Test loss: 0.0304
Epoch 303 | Train loss: 0.0177 | Test loss: 0.0300
Epoch 304 | Train loss: 0.0175 | Test loss: 0.0308
Epoch 305 | Train loss: 0.0175 | Test loss: 0.0306
Epoch 306 | Train loss: 0.0173 | Test loss: 0.0305
Epoch 307 | Train loss: 0.0171 | Test loss: 0.0302
Epoch 308 | Train loss: 0.0168 | Test loss: 0.0302
Epoch 309 | Train loss: 0.0168 | Test loss: 0.0303
Epoch 310 | Train loss: 0.0171 | Test loss: 0.0308
Epoch 311 | Train loss: 0.0172 | Test loss: 0.0302
Epoch 312 | Train loss: 0.0172 | Test loss: 0.0302
Epoch 313 | Train loss: 0.0172 | Test loss: 0.0301
Epoch 314 | Train loss: 0.0170 | Test loss: 0.0302
Epoch 315 | Train loss: 0.0178 | Test loss: 0.0298
Epoch 316 | Train loss: 0.0167 | Test loss: 0.0300
Epoch 317 | Train loss: 0.0167 | Test loss: 0.0305
Epoch 318 | Train loss: 0.0170 | Test loss: 0.0312
Epoch 319 | Train loss: 0.0168 | Test loss: 0.0298
Epoch 320 | Train loss: 0.0166 | Test loss: 0.0304
Epoch 321 | Train loss: 0.0167 | Test loss: 0.0304
Epoch 322 | Train loss: 0.0167 | Test loss: 0.0301
Epoch 323 | Train loss: 0.0166 | Test loss: 0.0305
Epoch 324 | Train loss: 0.0166 | Test loss: 0.0304
Epoch 325 | Train loss: 0.0167 | Test loss: 0.0295
Epoch 326 | Train loss: 0.0166 | Test loss: 0.0299
Epoch 327 | Train loss: 0.0164 | Test loss: 0.0300
Epoch 328 | Train loss: 0.0164 | Test loss: 0.0301
Epoch 329 | Train loss: 0.0163 | Test loss: 0.0297
Epoch 330 | Train loss: 0.0164 | Test loss: 0.0317
torch.Size([10, 2025, 3])
Number of parameters: 3,759,692
Number of trainable parameters: 3,759,692
Loss: 0.016
